No,material,feedrate,clamp_pressure,X1_ActualPosition,X1_ActualVelocity,X1_ActualAcceleration,X1_CommandPosition,X1_CommandVelocity,X1_CommandAcceleration,X1_CurrentFeedback,X1_DCBusVoltage,X1_OutputCurrent,X1_OutputVoltage,X1_OutputPower,Y1_ActualPosition,Y1_ActualVelocity,Y1_ActualAcceleration,Y1_CommandPosition,Y1_CommandVelocity,Y1_CommandAcceleration,Y1_CurrentFeedback,Y1_DCBusVoltage,Y1_OutputCurrent,Y1_OutputVoltage,Y1_OutputPower_transformed,Z1_ActualPosition,Z1_ActualVelocity,Z1_ActualAcceleration,Z1_CommandPosition,Z1_CommandVelocity,Z1_CommandAcceleration,Z1_CurrentFeedback,Z1_DCBusVoltage,Z1_OutputCurrent,Z1_OutputVoltage,S1_ActualPosition,S1_ActualVelocity,S1_ActualAcceleration,S1_CommandPosition,S1_CommandVelocity,S1_CommandAcceleration,S1_CurrentFeedback,S1_DCBusVoltage,S1_OutputCurrent,S1_OutputVoltage,S1_OutputPower,S1_SystemInertia,M1_CURRENT_PROGRAM_NUMBER,M1_sequence_number,M1_CURRENT_FEEDRATE,Machining_Process
3,wax,6.00,3.00,198,-0.025,-12.5,198,0,0,0.34,0.0252,330,0.576,0.00000043,158,0.025,6.25,158,0,0,-0.42,0.015,328,2.21,0.000000135,119,-0.025,-12.5,119,0,0,0,0,0,0,339,0.00075,0.188,339,0,0,0.453,2.75E-19,329,0,0.00000112,12,1,2,6,Prep
3,wax,6.00,3.00,198,0.025,18.8,198,0,0,-0.459,0.0226,329,1.79,0,158,0.05,12.5,158,0,0,0.223,0.0163,328,1.69,-0.000000361,119,-0.025,-12.5,119,0,0,0,0,0,0,339,-0.002,-0.25,339,0,0,0.157,2.75E-19,329,0,-0.000000886,12,1,0,6,Prep
3,wax,6.00,3.00,198,0.025,6.25,198,0,0,-0.459,0.017,329,0.929,-0.00000114,158,0.025,6.25,158,0,0,0.854,0.0209,328,0.496,0.00000155,119,0,0,119,0,0,0,0,0,0,339,0.001,0.25,339,0,0,0.363,2.75E-19,329,0,0.000000936,12,1,0,6,Prep
3,wax,6.00,3.00,198,0,6.25,198,0,0,0.659,0.0171,329,1.36,-0.000000153,158,0.025,6.25,158,0,0,-0.42,0.0261,328,2.18,0,119,0,-6.25,119,0,0,0,0,0,0,339,-0.00325,-1.56,339,0,0,0.157,2.75E-19,329,0,-0.000000988,12,1,0,6,Prep
3,wax,6.00,3.00,198,0,-6.25,198,0,0,-1.42,0.0222,329,2.66,0.00000132,158,0,6.25,158,0,0,0.0613,0.0313,328,1.77,0.000000167,119,0,6.25,119,0,0,0,0,0,0,339,0.002,1,339,0,0,0.363,2.75E-19,329,0,0.00000243,12,1,0,6,Prep
3,wax,6.00,3.00,198,-0.025,-6.25,198,0,0,-0.459,0.025,330,1.74,-0.00000144,158,-0.025,-12.5,158,0,0,0.538,0.0241,328,0.687,-0.000000901,119,0,-6.25,119,0,0,0,0,0,0,339,-0.001,0,339,0,0,0.17,2.75E-19,329,0,-0.00000107,12,1,0,6,Prep
3,wax,6.00,3.00,198,0,0,198,0,0,0.659,0.0157,330,1.74,0,158,0.025,6.25,158,0,0,0.696,0.0162,328,0.282,-0.000000358,119,0,0,119,0,0,0,0,0,0,339,0,0,339,0,0,0.26,2.75E-19,329,0,-0.000000885,12,1,0,6,Prep
3,wax,6.00,3.00,198,0.025,12.5,198,0,0,0.979,0.0207,329,2.07,0,158,0.025,12.5,158,0,0,-0.578,0.014,328,2.3,-0.000000283,119,0,0,119,0,0,0,0,0,0,339,0.001,0.5,339,0,0,0.453,2.75E-19,329,0,0,12,1,0,6,Prep
3,wax,6.00,3.00,198,0,0,198,0,0,-0.62,0.0172,330,1.51,0,158,0.025,6.25,158,0,0,-0.424,0.0184,328,1.82,0.000000133,119,0,-6.25,119,0,0,0,0,0,0,339,-0.001,-0.25,339,0,0,-0.0236,2.75E-19,329,0,0.0000014,12,1,0,6,Prep
3,wax,6.00,3.00,198,0,0,198,0,0,0.02,0.0202,330,0.837,0.000000653,158,0.025,6.25,158,0,0,-0.736,0.0154,328,2.86,0.000000312,119,0.025,6.25,119,0,0,0,0,0,0,339,-0.002,-0.188,339,0,0,0.26,2.75E-19,329,0,-0.0000011,12,1,0,6,Prep
